Strategy,Year,Age,Portfolio_Mean,Portfolio_Median,Portfolio_10th,Portfolio_90th,Portfolio_5th,Portfolio_95th,Withdrawal_Mean,Withdrawal_Median,Survival_Rate
Trinity_4pct,0,70,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,1.0
Trinity_4pct,1,71,974869.7350658333,972462.1285077851,797575.5801201717,1168971.3901151682,744256.0327786162,1221046.9231848565,41189.52575102288,41197.24383754184,1.0
Trinity_4pct,2,72,952442.810506643,939097.8134490533,694128.9979907442,1222556.8389196915,638140.57259922,1320038.7705746542,42433.741776547075,42438.974371323515,1.0
Trinity_4pct,3,73,926892.0919280004,897042.2082269274,620349.7461319994,1272900.8496377082,550985.7933062979,1400675.2063107349,43702.34049834418,43695.22487570939,1.0
Trinity_4pct,4,74,894874.4829857493,852241.2312185194,541112.4201379804,1315064.210453259,468476.24680572795,1485154.4287558396,44994.38689546898,45001.220882227906,1.0
Trinity_4pct,5,75,864329.052827026,799400.4403596238,484848.03158175235,1344379.614119316,413952.4589052708,1528630.2013488687,46319.50042429067,46302.60043817233,1.0
Trinity_4pct,6,76,834448.8211654564,771801.5281318282,411242.67284999497,1342045.5395045204,337184.750078121,1565606.120964521,47704.21974481598,47681.97035982738,1.0
Trinity_4pct,7,77,803808.9399023004,727910.0124413646,360288.1897601101,1360972.267719456,273464.2235871569,1563402.0286779387,49130.53398597423,49091.57732537163,1.0
Trinity_4pct,8,78,763831.1029944472,678002.5623160246,287058.3063534116,1334542.8852522618,222103.49648108633,1550100.4770351849,50606.88668039073,50536.67193103626,1.0
Trinity_4pct,9,79,723031.4492695449,630539.9020788063,229788.18167790884,1314407.61140958,162649.37858640705,1620540.7767505667,52140.649748582764,52119.577946772326,0.995
Trinity_4pct,10,80,681757.9223912834,584950.8752814089,170511.74068331782,1306201.7599569494,109641.49004625311,1613019.466886018,53412.777475790754,53612.434201609736,0.988
Trinity_4pct,11,81,634766.2751137727,532378.1012571452,114320.55828737574,1325117.1855478,46410.2081058583,1549514.5618193757,54635.58518929732,55241.37589902924,0.976
Trinity_4pct,12,82,586792.8213321897,470003.16002583934,58145.551952886366,1264491.8219473823,0.0,1562126.7735959555,55605.39219807576,56861.97889487355,0.941
Trinity_4pct,13,83,543384.3759052792,404586.2027763433,0.0,1229033.0764490406,0.0,1587104.4454867188,55276.83201917696,58529.210285686495,0.896
Trinity_4pct,14,84,498738.45941959287,351455.50162007735,0.0,1180452.3824014363,0.0,1530304.0945814645,54228.15422079007,60206.82272016263,0.823
Trinity_4pct,15,85,461562.4548940415,295119.68433148146,0.0,1215821.7270323886,0.0,1536912.1289946057,51330.69055121618,61698.03102524466,0.759
Trinity_4pct,16,86,421464.4181923301,229229.8052220234,0.0,1139969.9190305748,0.0,1550499.9574438483,48665.67942700179,63151.42367971489,0.711
Trinity_4pct,17,87,382637.4998572727,148205.2481921784,0.0,1103882.4069456044,0.0,1487404.7684837733,46916.71074429655,64680.286293101846,0.648
Trinity_4pct,18,88,353538.8877516267,92455.924777226,0.0,1089350.694260312,0.0,1483629.2239415378,44264.24296142066,66090.42670181314,0.579
Trinity_4pct,19,89,327886.6783783399,16839.702343563542,0.0,1005205.4107111441,0.0,1504768.6641562628,40692.96263340895,66890.89324353373,0.509
Trinity_4pct,20,90,299906.5550282562,0.0,0.0,947205.2363124308,0.0,1431512.6956713253,36770.846478336076,65772.7806823309,0.452
Trinity_4pct,21,91,271300.53529970837,0.0,0.0,851221.8063468823,0.0,1381931.2360457056,33640.76745669499,0.0,0.39
Trinity_4pct,22,92,248150.87112172562,0.0,0.0,826901.5016326183,0.0,1315221.3274663545,29829.37632159893,0.0,0.348
Trinity_4pct,23,93,230528.35661836734,0.0,0.0,740713.5192626017,0.0,1284384.59604091,27415.585919262,0.0,0.298
Trinity_4pct,24,94,209078.66044480467,0.0,0.0,673785.1364151144,0.0,1249098.694028144,24139.360278283977,0.0,0.264
Trinity_4pct,25,95,193027.0895512881,0.0,0.0,598482.2568519823,0.0,1116680.4492652314,21986.043414082986,0.0,0.227
Trinity_4pct,26,96,180181.9455497192,0.0,0.0,501906.4986351382,0.0,1082234.0001551392,19486.17860421262,0.0,0.208
Trinity_4pct,27,97,163313.39830450297,0.0,0.0,469807.60964640905,0.0,1011463.3127379162,18362.89948234353,0.0,0.18
Trinity_4pct,28,98,153287.01861707706,0.0,0.0,366872.0667263136,0.0,899981.4647952481,16467.743475027433,0.0,0.159
Trinity_4pct,29,99,140656.15762932104,0.0,0.0,235952.0818688574,0.0,855250.6346312555,14939.800540614535,0.0,0.142
